mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_AP,split1_test_AP,split2_test_AP,split3_test_AP,split4_test_AP,mean_test_AP,std_test_AP,rank_test_AP,split0_train_AP,split1_train_AP,split2_train_AP,split3_train_AP,split4_train_AP,mean_train_AP,std_train_AP,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,split4_train_Recall,mean_train_Recall,std_train_Recall,Model,param_model__C,param_model__max_depth,param_model__min_samples_leaf,param_model__n_neighbors,param_model__weights,param_model__kernel
0.1917501926422119,0.006634259984062585,0.027410268783569336,0.0005824589407206209,"{'model__max_depth': None, 'model__min_samples_leaf': 3}",0.5713903266750548,0.4695459517103116,0.5048828731342467,0.5403646315145307,0.4257464543242787,0.5023860474716846,0.05130749781480575,2,0.9927720878552888,0.9898855034143226,0.9888817049957103,0.9908294513162766,0.9881866238932583,0.9901110742949714,0.001603920145004033,0.5462962962962963,0.5204081632653061,0.5414847161572053,0.5353535353535354,0.47619047619047616,0.5239466374525639,0.02541802711804764,1,0.8084606345475911,0.7926267281105991,0.8127208480565371,0.7976744186046512,0.8259303721488596,0.8074826002936476,0.01170993973863823,0.686046511627907,0.5930232558139535,0.7294117647058823,0.6091954022988506,0.5813953488372093,0.6398144566567605,0.05780106511306037,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Random Forest,,,3.0,,,
0.17549386024475097,0.006311312032558046,0.027389383316040038,0.0031704133295933196,"{'model__max_depth': None, 'model__min_samples_leaf': 10}",0.5743557592885987,0.46893210179715156,0.48044007887927515,0.5449891479166025,0.4379029727345578,0.5013240121232372,0.05049333210896302,3,0.7532528665012089,0.7530513006035187,0.7536634017618289,0.7430153926615972,0.7556698980596321,0.7517305719175571,0.0044557867135982705,0.5060240963855421,0.47843137254901963,0.475177304964539,0.4666666666666667,0.49110320284697506,0.48348052868254854,0.013736528410465687,2,0.600739371534196,0.6060606060606061,0.6073102155576382,0.6073793755912961,0.627906976744186,0.6098793090975845,0.009337747709982856,0.7325581395348837,0.7093023255813954,0.788235294117647,0.6436781609195402,0.8023255813953488,0.735219900309763,0.05722324722588897,3,0.9447674418604651,0.9302325581395349,0.9391304347826087,0.9358600583090378,0.9418604651162791,0.9383701916415852,0.005024074786175887,Random Forest,,,10.0,,,
0.01738882064819336,0.0028072548512932784,0.0724256992340088,0.014840482123370623,"{'model__n_neighbors': 9, 'model__weights': 'uniform'}",0.4056627820840194,0.34207923385054173,0.38464933710267424,0.3912183363087207,0.33630858796801977,0.37198365546279516,0.027682705363948918,4,0.5163554174137992,0.5452992445371573,0.5549493400089544,0.5390204666939062,0.55120084672792,0.5413650630763475,0.013621545521354417,0.3252032520325203,0.2857142857142857,0.2711864406779661,0.35294117647058826,0.288,0.3046090309790721,0.03003351154870807,1,0.3891213389121339,0.432,0.4376278118609407,0.4122448979591837,0.43824701195219123,0.4218482121368899,0.018890458299978666,0.23255813953488372,0.19767441860465115,0.18823529411764706,0.2413793103448276,0.20930232558139536,0.21382989763668098,0.020230172149183948,1,0.2703488372093023,0.313953488372093,0.3101449275362319,0.2944606413994169,0.31976744186046513,0.3017350672755018,0.017794351949234472,KNN,,,,9.0,uniform,
0.019695758819580078,0.0028646006070219823,0.06821346282958984,0.0011387633193550278,"{'model__n_neighbors': 9, 'model__weights': 'distance'}",0.4469017140168719,0.3755408265636385,0.4077154460134196,0.4167370266934738,0.3596959468169032,0.40131819202086144,0.030833120713288416,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3225806451612903,0.2857142857142857,0.2711864406779661,0.35294117647058826,0.27419354838709675,0.3013232192822454,0.031635976147266535,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.23255813953488372,0.19767441860465115,0.18823529411764706,0.2413793103448276,0.19767441860465115,0.21150431624133215,0.021259154620232094,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNN,,,,9.0,distance,
0.018425893783569337,0.003465479038535855,0.06676487922668457,0.0023156646964130542,"{'model__n_neighbors': 21, 'model__weights': 'uniform'}",0.47981341906002534,0.4238035670845005,0.4108987689244431,0.5524090679060754,0.3969377017045367,0.45277250493591614,0.057216763447190074,2,0.5179828553187535,0.5192553669144998,0.5433629470481922,0.5058756240736385,0.5515208629862565,0.5275995312682682,0.017057251051059458,0.3008849557522124,0.21818181818181817,0.26548672566371684,0.3486238532110092,0.2975206611570248,0.2861396027931563,0.04311852802834212,3,0.30699774266365687,0.35974304068522484,0.3600867678958785,0.34347826086956523,0.3811563169164882,0.3502924258061627,0.024733319491026237,0.19767441860465115,0.13953488372093023,0.17647058823529413,0.21839080459770116,0.20930232558139536,0.1882746041479944,0.028115484164434584,3,0.19767441860465115,0.2441860465116279,0.24057971014492754,0.2303206997084548,0.25872093023255816,0.2342963610404439,0.02044905125283484,KNN,,,,21.0,uniform,
0.02075648307800293,0.005022273867236066,0.07332873344421387,0.0035776429180995116,"{'model__n_neighbors': 21, 'model__weights': 'distance'}",0.4979603647456987,0.445741866022983,0.42547687633676473,0.5719275247030062,0.4028974621534014,0.46880081879237084,0.06039425188076039,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3008849557522124,0.21818181818181817,0.26548672566371684,0.3486238532110092,0.2975206611570248,0.2861396027931563,0.04311852802834212,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19767441860465115,0.13953488372093023,0.17647058823529413,0.21839080459770116,0.20930232558139536,0.1882746041479944,0.028115484164434584,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,KNN,,,,21.0,distance,
0.3636343955993652,0.03630941913968586,0.033556127548217775,0.0024892398891387365,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.5816788207163014,0.490604749714411,0.48028324839583125,0.6024330168937183,0.4815364425936327,0.5273072556627789,0.053391845104360645,2,0.5180566690041291,0.5469700634658696,0.5497467452138095,0.5216121611597353,0.551143293869284,0.5375057865425654,0.014534584368271774,0.48375451263537905,0.47719298245614034,0.4394904458598726,0.47619047619047616,0.46153846153846156,0.467633375736066,0.01583460504621601,3,0.47088186356073214,0.4846938775510204,0.48671808054841476,0.48046550290939316,0.48138528138528136,0.4808289211909684,0.0054590411358579225,0.7790697674418605,0.7906976744186046,0.8117647058823529,0.7471264367816092,0.8372093023255814,0.7931735773700017,0.030364985881792487,1,0.8226744186046512,0.8284883720930233,0.8231884057971014,0.8425655976676385,0.8081395348837209,0.825011265809227,0.011078662491547209,SVM,0.1,,,,,linear
0.6572338104248047,0.10887841622620192,0.12601118087768554,0.010515930660780378,"{'model__C': 0.1, 'model__kernel': 'rbf'}",0.5387966692804684,0.42609081615225125,0.4713251663592348,0.5286005188784322,0.4469488947548705,0.48235241308505145,0.04441895522604279,3,0.49766716671397365,0.5360435395791198,0.5300177893103014,0.5184815844268988,0.5392909717538829,0.5243002103568354,0.015089697405649936,0.47686832740213525,0.4529616724738676,0.44025157232704404,0.47058823529411764,0.4786885245901639,0.4638716664174657,0.014903030517480766,4,0.475020475020475,0.4991304347826087,0.49695916594265854,0.4858369098712446,0.4933920704845815,0.4900678112203137,0.008774912744109197,0.7790697674418605,0.7558139534883721,0.8235294117647058,0.735632183908046,0.8488372093023255,0.7885765051810619,0.04199981464424307,3,0.8430232558139535,0.8343023255813954,0.8289855072463768,0.8250728862973761,0.813953488372093,0.8290674926622389,0.009659850186616822,SVM,0.1,,,,,rbf
0.4921254634857178,0.012789301591424487,0.031676721572875974,0.0014630427952863078,"{'model__C': 1.0, 'model__kernel': 'linear'}",0.5790737108694076,0.4938562006842505,0.48109175685270766,0.6011957811324251,0.4819269533597794,0.5274288805797142,0.05187181000155711,1,0.518079182674364,0.5470009120373082,0.5489864616733512,0.5215495205940436,0.5498934488517567,0.5371019051661647,0.014188708518727654,0.4908424908424908,0.4738675958188153,0.4380952380952381,0.47619047619047616,0.46153846153846156,0.46810685249709644,0.017659451550933136,2,0.47324414715719065,0.4868085106382979,0.4854202401372213,0.48040033361134277,0.4804177545691906,0.4812581972226487,0.004770657240165173,0.7790697674418605,0.7906976744186046,0.8117647058823529,0.7471264367816092,0.8372093023255814,0.7931735773700017,0.030364985881792487,1,0.8226744186046512,0.8313953488372093,0.8202898550724638,0.8396501457725948,0.8023255813953488,0.8232670699364535,0.012507878141442663,SVM,1.0,,,,,linear
0.5277921199798584,0.010375731784592718,0.10898246765136718,0.005085568251792111,"{'model__C': 1.0, 'model__kernel': 'rbf'}",0.4892820269615954,0.3914635331349645,0.4435027364914964,0.46295360177580697,0.4068427588159874,0.4388089314359701,0.03582165048098418,4,0.5600633732355504,0.5803979181794148,0.5911570863836938,0.5798477893485553,0.5940543526230218,0.5811041039540472,0.01194621923642471,0.4714285714285714,0.460431654676259,0.45774647887323944,0.4868913857677903,0.4734982332155477,0.4699992647922816,0.010404800571360043,1,0.5448154657293497,0.5648312611012434,0.5662431941923775,0.5602901178603807,0.576395242451967,0.5625150562670637,0.010297079604119705,0.7674418604651163,0.7441860465116279,0.7647058823529411,0.7471264367816092,0.7790697674418605,0.7605059987106311,0.01308214223728765,4,0.9011627906976745,0.9244186046511628,0.9043478260869565,0.9008746355685131,0.9156976744186046,0.9093003062845822,0.009286844583536683,SVM,1.0,,,,,rbf
